Disciplina / Bloque;Fecha (extensión);Inicio;Fin
DESAYUNO;General;07:00;11:00
Desayuno - Extensión excepcional;24-09;06:30;11:00
Desayuno - Extensión excepcional;30-09;06:30;11:00
Desayuno - Extensión excepcional;03-10;06:30;11:00
Desayuno - Extensión excepcional;04-10;06:30;11:00
ALMUERZO;General;12:00;16:00
COLACIÓN;General;12:00;16:00
CENA;General;19:00;23:00
Cena - Extensión excepcional;22-09;18:30;23:45
Cena - Extensión excepcional;23-09;19:00;23:45
Cena - Extensión excepcional;24-09;19:00;23:30
Cena - Extensión excepcional;27-09;19:00;23:30
Cena - Extensión excepcional;30-09;19:00;23:30
Cena - Extensión excepcional;03-10;19:00;23:30
